,raceId,driverId,startingGridPosition,position,constructorId,lap,driverCode,year,raceName,circuitId,AirTemp,Humidity,TrackTemp,WindSpeed,WasRainingDuringRaceAnyTime,positionDiff,teamName,circuitRef,circuitName,tireChange
95,841,153,12,11,5,1,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit,
96,841,153,12,11,5,17,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit,
97,841,153,12,11,5,35,ALG,2011,Australian Grand Prix,1,,,,,,1,Toro Rosso,albert_park,Albert Park Grand Prix Circuit,
53,841,2,18,12,4,15,HEI,2011,Australian Grand Prix,1,,,,,,6,Renault,albert_park,Albert Park Grand Prix Circuit,
54,841,2,18,12,4,30,HEI,2011,Australian Grand Prix,1,,,,,,6,Renault,albert_park,Albert Park Grand Prix Circuit,
150,841,15,20,13,205,16,TRU,2011,Australian Grand Prix,1,,,,,,7,Lotus,albert_park,Albert Park Grand Prix Circuit,
151,841,15,20,13,205,37,TRU,2011,Australian Grand Prix,1,,,,,,7,Lotus,albert_park,Albert Park Grand Prix Circuit,
152,841,816,22,14,166,14,DAM,2011,Australian Grand Prix,1,,,,,,8,Virgin,albert_park,Albert Park Grand Prix Circuit,
153,841,816,22,14,166,38,DAM,2011,Australian Grand Prix,1,,,,,,8,Virgin,albert_park,Albert Park Grand Prix Circuit,
247,842,20,1,1,9,13,VET,2011,Malaysian Grand Prix,2,,,,,,0,Red Bull,sepang,Sepang International Circuit,
248,842,20,1,1,9,25,VET,2011,Malaysian Grand Prix,2,,,,,,0,Red Bull,sepang,Sepang International Circuit,
249,842,20,1,1,9,41,VET,2011,Malaysian Grand Prix,2,,,,,,0,Red Bull,sepang,Sepang International Circuit,
289,842,18,4,2,1,13,BUT,2011,Malaysian Grand Prix,2,,,,,,2,McLaren,sepang,Sepang International Circuit,
290,842,18,4,2,1,23,BUT,2011,Malaysian Grand Prix,2,,,,,,2,McLaren,sepang,Sepang International Circuit,
291,842,18,4,2,1,38,BUT,2011,Malaysian Grand Prix,2,,,,,,2,McLaren,sepang,Sepang International Circuit,
323,842,2,6,3,4,13,HEI,2011,Malaysian Grand Prix,2,,,,,,3,Renault,sepang,Sepang International Circuit,
324,842,2,6,3,4,26,HEI,2011,Malaysian Grand Prix,2,,,,,,3,Renault,sepang,Sepang International Circuit,
325,842,2,6,3,4,39,HEI,2011,Malaysian Grand Prix,2,,,,,,3,Renault,sepang,Sepang International Circuit,
250,842,17,3,4,9,10,WEB,2011,Malaysian Grand Prix,2,,,,,,-1,Red Bull,sepang,Sepang International Circuit,
251,842,17,3,4,9,22,WEB,2011,Malaysian Grand Prix,2,,,,,,-1,Red Bull,sepang,Sepang International Circuit,
252,842,17,3,4,9,32,WEB,2011,Malaysian Grand Prix,2,,,,,,-1,Red Bull,sepang,Sepang International Circuit,
253,842,17,3,4,9,43,WEB,2011,Malaysian Grand Prix,2,,,,,,-1,Red Bull,sepang,Sepang International Circuit,
334,842,13,7,5,6,13,MAS,2011,Malaysian Grand Prix,2,,,,,,2,Ferrari,sepang,Sepang International Circuit,
335,842,13,7,5,6,27,MAS,2011,Malaysian Grand Prix,2,,,,,,2,Ferrari,sepang,Sepang International Circuit,
336,842,13,7,5,6,38,MAS,2011,Malaysian Grand Prix,2,,,,,,2,Ferrari,sepang,Sepang International Circuit,
330,842,4,5,6,6,14,ALO,2011,Malaysian Grand Prix,2,,,,,,-1,Ferrari,sepang,Sepang International Circuit,
331,842,4,5,6,6,26,ALO,2011,Malaysian Grand Prix,2,,,,,,-1,Ferrari,sepang,Sepang International Circuit,
332,842,4,5,6,6,41,ALO,2011,Malaysian Grand Prix,2,,,,,,-1,Ferrari,sepang,Sepang International Circuit,
333,842,4,5,6,6,46,ALO,2011,Malaysian Grand Prix,2,,,,,,-1,Ferrari,sepang,Sepang International Circuit,
424,842,155,10,7,15,17,KOB,2011,Malaysian Grand Prix,2,,,,,,3,Sauber,sepang,Sepang International Circuit,
425,842,155,10,7,15,36,KOB,2011,Malaysian Grand Prix,2,,,,,,3,Sauber,sepang,Sepang International Circuit,
285,842,1,2,8,1,12,HAM,2011,Malaysian Grand Prix,2,,,,,,-6,McLaren,sepang,Sepang International Circuit,
286,842,1,2,8,1,24,HAM,2011,Malaysian Grand Prix,2,,,,,,-6,McLaren,sepang,Sepang International Circuit,
287,842,1,2,8,1,37,HAM,2011,Malaysian Grand Prix,2,,,,,,-6,McLaren,sepang,Sepang International Circuit,
288,842,1,2,8,1,52,HAM,2011,Malaysian Grand Prix,2,,,,,,-6,McLaren,sepang,Sepang International Circuit,
445,842,30,11,9,131,14,MSC,2011,Malaysian Grand Prix,2,,,,,,2,Mercedes,sepang,Sepang International Circuit,
446,842,30,11,9,131,28,MSC,2011,Malaysian Grand Prix,2,,,,,,2,Mercedes,sepang,Sepang International Circuit,
447,842,30,11,9,131,42,MSC,2011,Malaysian Grand Prix,2,,,,,,2,Mercedes,sepang,Sepang International Circuit,
397,842,814,14,10,10,11,DIR,2011,Malaysian Grand Prix,2,,,,,,4,Force India,sepang,Sepang International Circuit,
398,842,814,14,10,10,24,DIR,2011,Malaysian Grand Prix,2,,,,,,4,Force India,sepang,Sepang International Circuit,
399,842,814,14,10,10,37,DIR,2011,Malaysian Grand Prix,2,,,,,,4,Force India,sepang,Sepang International Circuit,
394,842,16,17,11,10,3,SUT,2011,Malaysian Grand Prix,2,,,,,,6,Force India,sepang,Sepang International Circuit,
395,842,16,17,11,10,16,SUT,2011,Malaysian Grand Prix,2,,,,,,6,Force India,sepang,Sepang International Circuit,
396,842,16,17,11,10,32,SUT,2011,Malaysian Grand Prix,2,,,,,,6,Force India,sepang,Sepang International Circuit,
448,842,3,9,12,131,15,ROS,2011,Malaysian Grand Prix,2,,,,,,-3,Mercedes,sepang,Sepang International Circuit,
449,842,3,9,12,131,29,ROS,2011,Malaysian Grand Prix,2,,,,,,-3,Mercedes,sepang,Sepang International Circuit,
450,842,3,9,12,131,40,ROS,2011,Malaysian Grand Prix,2,,,,,,-3,Mercedes,sepang,Sepang International Circuit,
363,842,67,12,13,5,15,BUE,2011,Malaysian Grand Prix,2,,,,,,-1,Toro Rosso,sepang,Sepang International Circuit,
364,842,67,12,13,5,20,BUE,2011,Malaysian Grand Prix,2,,,,,,-1,Toro Rosso,sepang,Sepang International Circuit,
365,842,67,12,13,5,32,BUE,2011,Malaysian Grand Prix,2,,,,,,-1,Toro Rosso,sepang,Sepang International Circuit,
366,842,153,13,14,5,16,ALG,2011,Malaysian Grand Prix,2,,,,,,-1,Toro Rosso,sepang,Sepang International Circuit,
367,842,153,13,14,5,32,ALG,2011,Malaysian Grand Prix,2,,,,,,-1,Toro Rosso,sepang,Sepang International Circuit,
420,842,5,19,15,205,15,KOV,2011,Malaysian Grand Prix,2,,,,,,4,Lotus,sepang,Sepang International Circuit,
421,842,5,19,15,205,34,KOV,2011,Malaysian Grand Prix,2,,,,,,4,Lotus,sepang,Sepang International Circuit,
422,842,10,21,16,166,17,GLO,2011,Malaysian Grand Prix,2,,,,,,5,Virgin,sepang,Sepang International Circuit,
423,842,10,21,16,166,34,GLO,2011,Malaysian Grand Prix,2,,,,,,5,Virgin,sepang,Sepang International Circuit,
320,842,808,8,17,4,15,PET,2011,Malaysian Grand Prix,2,,,,,,-9,Renault,sepang,Sepang International Circuit,
321,842,808,8,17,4,27,PET,2011,Malaysian Grand Prix,2,,,,,,-9,Renault,sepang,Sepang International Circuit,
322,842,808,8,17,4,44,PET,2011,Malaysian Grand Prix,2,,,,,,-9,Renault,sepang,Sepang International Circuit,
622,843,1,3,1,1,15,HAM,2011,Chinese Grand Prix,17,,,,,,2,McLaren,shanghai,Shanghai International Circuit,
623,843,1,3,1,1,25,HAM,2011,Chinese Grand Prix,17,,,,,,2,McLaren,shanghai,Shanghai International Circuit,
624,843,1,3,1,1,38,HAM,2011,Chinese Grand Prix,17,,,,,,2,McLaren,shanghai,Shanghai International Circuit,
580,843,20,1,2,9,14,VET,2011,Chinese Grand Prix,17,,,,,,-1,Red Bull,shanghai,Shanghai International Circuit,
581,843,20,1,2,9,31,VET,2011,Chinese Grand Prix,17,,,,,,-1,Red Bull,shanghai,Shanghai International Circuit,
582,843,17,18,3,9,10,WEB,2011,Chinese Grand Prix,17,,,,,,15,Red Bull,shanghai,Shanghai International Circuit,
583,843,17,18,3,9,25,WEB,2011,Chinese Grand Prix,17,,,,,,15,Red Bull,shanghai,Shanghai International Circuit,
584,843,17,18,3,9,40,WEB,2011,Chinese Grand Prix,17,,,,,,15,Red Bull,shanghai,Shanghai International Circuit,
625,843,18,2,4,1,14,BUT,2011,Chinese Grand Prix,17,,,,,,-2,McLaren,shanghai,Shanghai International Circuit,
626,843,18,2,4,1,24,BUT,2011,Chinese Grand Prix,17,,,,,,-2,McLaren,shanghai,Shanghai International Circuit,
627,843,18,2,4,1,37,BUT,2011,Chinese Grand Prix,17,,,,,,-2,McLaren,shanghai,Shanghai International Circuit,
848,843,3,4,5,131,12,ROS,2011,Chinese Grand Prix,17,,,,,,-1,Mercedes,shanghai,Shanghai International Circuit,
849,843,3,4,5,131,25,ROS,2011,Chinese Grand Prix,17,,,,,,-1,Mercedes,shanghai,Shanghai International Circuit,
850,843,3,4,5,131,39,ROS,2011,Chinese Grand Prix,17,,,,,,-1,Mercedes,shanghai,Shanghai International Circuit,
684,843,13,6,6,6,15,MAS,2011,Chinese Grand Prix,17,,,,,,0,Ferrari,shanghai,Shanghai International Circuit,
685,843,13,6,6,6,33,MAS,2011,Chinese Grand Prix,17,,,,,,0,Ferrari,shanghai,Shanghai International Circuit,
682,843,4,5,7,6,16,ALO,2011,Chinese Grand Prix,17,,,,,,-2,Ferrari,shanghai,Shanghai International Circuit,
683,843,4,5,7,6,32,ALO,2011,Chinese Grand Prix,17,,,,,,-2,Ferrari,shanghai,Shanghai International Circuit,
845,843,30,14,8,131,10,MSC,2011,Chinese Grand Prix,17,,,,,,6,Mercedes,shanghai,Shanghai International Circuit,
846,843,30,14,8,131,26,MSC,2011,Chinese Grand Prix,17,,,,,,6,Mercedes,shanghai,Shanghai International Circuit,
847,843,30,14,8,131,39,MSC,2011,Chinese Grand Prix,17,,,,,,6,Mercedes,shanghai,Shanghai International Circuit,
658,843,808,10,9,4,17,PET,2011,Chinese Grand Prix,17,,,,,,1,Renault,shanghai,Shanghai International Circuit,
659,843,808,10,9,4,37,PET,2011,Chinese Grand Prix,17,,,,,,1,Renault,shanghai,Shanghai International Circuit,
813,843,155,13,10,15,14,KOB,2011,Chinese Grand Prix,17,,,,,,3,Sauber,shanghai,Shanghai International Circuit,
814,843,155,13,10,15,30,KOB,2011,Chinese Grand Prix,17,,,,,,3,Sauber,shanghai,Shanghai International Circuit,
766,843,814,8,11,10,11,DIR,2011,Chinese Grand Prix,17,,,,,,-3,Force India,shanghai,Shanghai International Circuit,
767,843,814,8,11,10,32,DIR,2011,Chinese Grand Prix,17,,,,,,-3,Force India,shanghai,Shanghai International Circuit,
660,843,2,16,12,4,18,HEI,2011,Chinese Grand Prix,17,,,,,,4,Renault,shanghai,Shanghai International Circuit,
661,843,2,16,12,4,30,HEI,2011,Chinese Grand Prix,17,,,,,,4,Renault,shanghai,Shanghai International Circuit,
885,843,22,15,13,3,16,BAR,2011,Chinese Grand Prix,17,,,,,,2,Williams,shanghai,Shanghai International Circuit,
886,843,22,15,13,3,35,BAR,2011,Chinese Grand Prix,17,,,,,,2,Williams,shanghai,Shanghai International Circuit,
726,843,67,9,14,5,12,BUE,2011,Chinese Grand Prix,17,,,,,,-5,Toro Rosso,shanghai,Shanghai International Circuit,
727,843,67,9,14,5,16,BUE,2011,Chinese Grand Prix,17,,,,,,-5,Toro Rosso,shanghai,Shanghai International Circuit,
728,843,67,9,14,5,33,BUE,2011,Chinese Grand Prix,17,,,,,,-5,Toro Rosso,shanghai,Shanghai International Circuit,
763,843,16,11,15,10,15,SUT,2011,Chinese Grand Prix,17,,,,,,-4,Force India,shanghai,Shanghai International Circuit,
764,843,16,11,15,10,30,SUT,2011,Chinese Grand Prix,17,,,,,,-4,Force India,shanghai,Shanghai International Circuit,
765,843,16,11,15,10,47,SUT,2011,Chinese Grand Prix,17,,,,,,-4,Force India,shanghai,Shanghai International Circuit,
806,843,5,19,16,205,19,KOV,2011,Chinese Grand Prix,17,,,,,,3,Lotus,shanghai,Shanghai International Circuit,
807,843,5,19,16,205,40,KOV,2011,Chinese Grand Prix,17,,,,,,3,Lotus,shanghai,Shanghai International Circuit,
815,843,815,12,17,15,16,PER,2011,Chinese Grand Prix,17,,,,,,-5,Sauber,shanghai,Shanghai International Circuit,
816,843,815,12,17,15,36,PER,2011,Chinese Grand Prix,17,,,,,,-5,Sauber,shanghai,Shanghai International Circuit,
817,843,815,12,17,15,48,PER,2011,Chinese Grand Prix,17,,,,,,-5,Sauber,shanghai,Shanghai International Circuit,
818,843,815,12,17,15,50,PER,2011,Chinese Grand Prix,17,,,,,,-5,Sauber,shanghai,Shanghai International Circuit,
887,843,813,17,18,3,10,MAL,2011,Chinese Grand Prix,17,,,,,,-1,Williams,shanghai,Shanghai International Circuit,
888,843,813,17,18,3,25,MAL,2011,Chinese Grand Prix,17,,,,,,-1,Williams,shanghai,Shanghai International Circuit,
889,843,813,17,18,3,40,MAL,2011,Chinese Grand Prix,17,,,,,,-1,Williams,shanghai,Shanghai International Circuit,
804,843,15,20,19,205,20,TRU,2011,Chinese Grand Prix,17,,,,,,1,Lotus,shanghai,Shanghai International Circuit,
805,843,15,20,19,205,42,TRU,2011,Chinese Grand Prix,17,,,,,,1,Lotus,shanghai,Shanghai International Circuit,
808,843,816,21,20,166,20,DAM,2011,Chinese Grand Prix,17,,,,,,1,Virgin,shanghai,Shanghai International Circuit,
809,843,816,21,20,166,34,DAM,2011,Chinese Grand Prix,17,,,,,,1,Virgin,shanghai,Shanghai International Circuit,
810,843,10,22,21,166,16,GLO,2011,Chinese Grand Prix,17,,,,,,1,Virgin,shanghai,Shanghai International Circuit,
811,843,10,22,21,166,28,GLO,2011,Chinese Grand Prix,17,,,,,,1,Virgin,shanghai,Shanghai International Circuit,
812,843,10,22,21,166,39,GLO,2011,Chinese Grand Prix,17,,,,,,1,Virgin,shanghai,Shanghai International Circuit,
925,843,24,23,22,164,9,LIU,2011,Chinese Grand Prix,17,,,,,,1,HRT,shanghai,Shanghai International Circuit,
926,843,24,23,22,164,21,LIU,2011,Chinese Grand Prix,17,,,,,,1,HRT,shanghai,Shanghai International Circuit,
927,843,24,23,22,164,45,LIU,2011,Chinese Grand Prix,17,,,,,,1,HRT,shanghai,Shanghai International Circuit,
928,843,39,24,23,164,23,KAR,2011,Chinese Grand Prix,17,,,,,,1,HRT,shanghai,Shanghai International Circuit,
1020,844,20,1,1,9,11,VET,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1021,844,20,1,1,9,25,VET,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1022,844,20,1,1,9,40,VET,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1023,844,20,1,1,9,47,VET,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1024,844,17,2,2,9,10,WEB,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1025,844,17,2,2,9,21,WEB,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1026,844,17,2,2,9,35,WEB,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1027,844,17,2,2,9,45,WEB,2011,Turkish Grand Prix,5,,,,,,0,Red Bull,istanbul,Istanbul Park,
1060,844,4,5,3,6,10,ALO,2011,Turkish Grand Prix,5,,,,,,2,Ferrari,istanbul,Istanbul Park,
1061,844,4,5,3,6,23,ALO,2011,Turkish Grand Prix,5,,,,,,2,Ferrari,istanbul,Istanbul Park,
1062,844,4,5,3,6,36,ALO,2011,Turkish Grand Prix,5,,,,,,2,Ferrari,istanbul,Istanbul Park,
1063,844,4,5,3,6,46,ALO,2011,Turkish Grand Prix,5,,,,,,2,Ferrari,istanbul,Istanbul Park,
1035,844,1,4,4,1,9,HAM,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1036,844,1,4,4,1,20,HAM,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1037,844,1,4,4,1,34,HAM,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1038,844,1,4,4,1,46,HAM,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1103,844,3,3,5,131,10,ROS,2011,Turkish Grand Prix,5,,,,,,-2,Mercedes,istanbul,Istanbul Park,
1104,844,3,3,5,131,22,ROS,2011,Turkish Grand Prix,5,,,,,,-2,Mercedes,istanbul,Istanbul Park,
1105,844,3,3,5,131,33,ROS,2011,Turkish Grand Prix,5,,,,,,-2,Mercedes,istanbul,Istanbul Park,
1106,844,3,3,5,131,44,ROS,2011,Turkish Grand Prix,5,,,,,,-2,Mercedes,istanbul,Istanbul Park,
1039,844,18,6,6,1,13,BUT,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1040,844,18,6,6,1,26,BUT,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1041,844,18,6,6,1,39,BUT,2011,Turkish Grand Prix,5,,,,,,0,McLaren,istanbul,Istanbul Park,
1052,844,2,9,7,4,10,HEI,2011,Turkish Grand Prix,5,,,,,,2,Renault,istanbul,Istanbul Park,
1053,844,2,9,7,4,22,HEI,2011,Turkish Grand Prix,5,,,,,,2,Renault,istanbul,Istanbul Park,
1054,844,2,9,7,4,36,HEI,2011,Turkish Grand Prix,5,,,,,,2,Renault,istanbul,Istanbul Park,
1055,844,2,9,7,4,46,HEI,2011,Turkish Grand Prix,5,,,,,,2,Renault,istanbul,Istanbul Park,
1048,844,808,7,8,4,8,PET,2011,Turkish Grand Prix,5,,,,,,-1,Renault,istanbul,Istanbul Park,
1049,844,808,7,8,4,19,PET,2011,Turkish Grand Prix,5,,,,,,-1,Renault,istanbul,Istanbul Park,
1050,844,808,7,8,4,34,PET,2011,Turkish Grand Prix,5,,,,,,-1,Renault,istanbul,Istanbul Park,
1051,844,808,7,8,4,45,PET,2011,Turkish Grand Prix,5,,,,,,-1,Renault,istanbul,Istanbul Park,
1074,844,67,16,9,5,9,BUE,2011,Turkish Grand Prix,5,,,,,,7,Toro Rosso,istanbul,Istanbul Park,
1075,844,67,16,9,5,23,BUE,2011,Turkish Grand Prix,5,,,,,,7,Toro Rosso,istanbul,Istanbul Park,
1076,844,67,16,9,5,40,BUE,2011,Turkish Grand Prix,5,,,,,,7,Toro Rosso,istanbul,Istanbul Park,
1092,844,155,24,10,15,13,KOB,2011,Turkish Grand Prix,5,,,,,,14,Sauber,istanbul,Istanbul Park,
1093,844,155,24,10,15,23,KOB,2011,Turkish Grand Prix,5,,,,,,14,Sauber,istanbul,Istanbul Park,
1094,844,155,24,10,15,38,KOB,2011,Turkish Grand Prix,5,,,,,,14,Sauber,istanbul,Istanbul Park,
1064,844,13,10,11,6,9,MAS,2011,Turkish Grand Prix,5,,,,,,-1,Ferrari,istanbul,Istanbul Park,
1065,844,13,10,11,6,23,MAS,2011,Turkish Grand Prix,5,,,,,,-1,Ferrari,istanbul,Istanbul Park,
1066,844,13,10,11,6,34,MAS,2011,Turkish Grand Prix,5,,,,,,-1,Ferrari,istanbul,Istanbul Park,
1067,844,13,10,11,6,46,MAS,2011,Turkish Grand Prix,5,,,,,,-1,Ferrari,istanbul,Istanbul Park,
1099,844,30,8,12,131,2,MSC,2011,Turkish Grand Prix,5,,,,,,-4,Mercedes,istanbul,Istanbul Park,
1100,844,30,8,12,131,14,MSC,2011,Turkish Grand Prix,5,,,,,,-4,Mercedes,istanbul,Istanbul Park,
1101,844,30,8,12,131,30,MSC,2011,Turkish Grand Prix,5,,,,,,-4,Mercedes,istanbul,Istanbul Park,
1102,844,30,8,12,131,45,MSC,2011,Turkish Grand Prix,5,,,,,,-4,Mercedes,istanbul,Istanbul Park,
1081,844,16,12,13,10,10,SUT,2011,Turkish Grand Prix,5,,,,,,-1,Force India,istanbul,Istanbul Park,
1082,844,16,12,13,10,25,SUT,2011,Turkish Grand Prix,5,,,,,,-1,Force India,istanbul,Istanbul Park,
1083,844,16,12,13,10,40,SUT,2011,Turkish Grand Prix,5,,,,,,-1,Force India,istanbul,Istanbul Park,
1095,844,815,15,14,15,1,PER,2011,Turkish Grand Prix,5,,,,,,1,Sauber,istanbul,Istanbul Park,
1096,844,815,15,14,15,16,PER,2011,Turkish Grand Prix,5,,,,,,1,Sauber,istanbul,Istanbul Park,
1097,844,815,15,14,15,32,PER,2011,Turkish Grand Prix,5,,,,,,1,Sauber,istanbul,Istanbul Park,
1098,844,815,15,14,15,42,PER,2011,Turkish Grand Prix,5,,,,,,1,Sauber,istanbul,Istanbul Park,
1112,844,22,11,15,3,10,BAR,2011,Turkish Grand Prix,5,,,,,,-4,Williams,istanbul,Istanbul Park,
1113,844,22,11,15,3,24,BAR,2011,Turkish Grand Prix,5,,,,,,-4,Williams,istanbul,Istanbul Park,
1114,844,22,11,15,3,40,BAR,2011,Turkish Grand Prix,5,,,,,,-4,Williams,istanbul,Istanbul Park,
1077,844,153,17,16,5,13,ALG,2011,Turkish Grand Prix,5,,,,,,1,Toro Rosso,istanbul,Istanbul Park,
1078,844,153,17,16,5,29,ALG,2011,Turkish Grand Prix,5,,,,,,1,Toro Rosso,istanbul,Istanbul Park,
1079,844,153,17,16,5,39,ALG,2011,Turkish Grand Prix,5,,,,,,1,Toro Rosso,istanbul,Istanbul Park,
1080,844,153,17,16,5,55,ALG,2011,Turkish Grand Prix,5,,,,,,1,Toro Rosso,istanbul,Istanbul Park,
1115,844,813,14,17,3,11,MAL,2011,Turkish Grand Prix,5,,,,,,-3,Williams,istanbul,Istanbul Park,
1116,844,813,14,17,3,25,MAL,2011,Turkish Grand Prix,5,,,,,,-3,Williams,istanbul,Istanbul Park,
1117,844,813,14,17,3,41,MAL,2011,Turkish Grand Prix,5,,,,,,-3,Williams,istanbul,Istanbul Park,
1118,844,813,14,17,3,45,MAL,2011,Turkish Grand Prix,5,,,,,,-3,Williams,istanbul,Istanbul Park,
1084,844,15,19,18,205,13,TRU,2011,Turkish Grand Prix,5,,,,,,1,Lotus,istanbul,Istanbul Park,
1085,844,15,19,18,205,25,TRU,2011,Turkish Grand Prix,5,,,,,,1,Lotus,istanbul,Istanbul Park,
1086,844,15,19,18,205,39,TRU,2011,Turkish Grand Prix,5,,,,,,1,Lotus,istanbul,Istanbul Park,
1087,844,5,18,19,205,15,KOV,2011,Turkish Grand Prix,5,,,,,,-1,Lotus,istanbul,Istanbul Park,
1088,844,5,18,19,205,31,KOV,2011,Turkish Grand Prix,5,,,,,,-1,Lotus,istanbul,Istanbul Park,
1089,844,5,18,19,205,53,KOV,2011,Turkish Grand Prix,5,,,,,,-1,Lotus,istanbul,Istanbul Park,
1090,844,816,23,20,166,16,DAM,2011,Turkish Grand Prix,5,,,,,,3,Virgin,istanbul,Istanbul Park,
1091,844,816,23,20,166,33,DAM,2011,Turkish Grand Prix,5,,,,,,3,Virgin,istanbul,Istanbul Park,
1127,844,39,22,21,164,14,KAR,2011,Turkish Grand Prix,5,,,,,,1,HRT,istanbul,Istanbul Park,
1128,844,39,22,21,164,27,KAR,2011,Turkish Grand Prix,5,,,,,,1,HRT,istanbul,Istanbul Park,
1129,844,39,22,21,164,45,KAR,2011,Turkish Grand Prix,5,,,,,,1,HRT,istanbul,Istanbul Park,
1123,844,24,20,22,164,15,LIU,2011,Turkish Grand Prix,5,,,,,,-2,HRT,istanbul,Istanbul Park,
1124,844,24,20,22,164,16,LIU,2011,Turkish Grand Prix,5,,,,,,-2,HRT,istanbul,Istanbul Park,
1125,844,24,20,22,164,35,LIU,2011,Turkish Grand Prix,5,,,,,,-2,HRT,istanbul,Istanbul Park,
